Nome Controladora;Código Operadora;Nome Operadora;Nome Garagem;Data Operação;Código Interno Linha;Nome Linha;Código Externo Linha;Num Terminal;Passageiros;Catraca Pendente;KM Percorrido;Inteiras;Valor Inteiras;Quant VT Papel;Valor VT Papel;Gratuidade;Estudantes;Valor Estudantes;VT;Valor VT;VT Integração;Valor VT Integração;Passagens;Valor Passagens;Passagens Integração;Valor Passagens Integração;Viagem Programada;Viagem Realizada;EStudantes Integração;Valor Estudantes Integração;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;48;CANDEAL / PRAÇA DO TROPEIRO;051;1;288;0;175,002;55;302,5;0;0;66;31;77,5;84;432,6;0;0;52;267,8;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;48;CANDEAL / PRAÇA DO TROPEIRO;051;2;164;0;92,268;36;198;0;0;41;12;30;39;200,85;15;0;8;41,2;9;0;0;0;4;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;49;CANDEIA GROSSA / JACU - VIA ALECRIM;052;0;0;0;44,532;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;49;CANDEIA GROSSA / JACU - VIA ALECRIM;052;1;287;0;95,167;56;308;0;0;37;9;22,5;135;695,25;2;0;48;247,2;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;49;CANDEIA GROSSA / JACU - VIA ALECRIM;052;2;24;0;49,281;0;0;0;0;5;2;5;8;41,2;5;0;3;15,45;1;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;51;KM 13 / TERMINAL CENTRAL;054;0;0;0;41,721;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;51;KM 13 / TERMINAL CENTRAL;054;1;127;0;99,308;21;115,5;0;0;15;7;17,5;63;324,45;1;0;20;103;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;51;KM 13 / TERMINAL CENTRAL;054;2;23;0;25,804;6;33;0;0;4;6;15;2;10,3;0;0;3;15,45;2;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;52;MATINHA / PRACA DO TROPEIRO;055;0;0;0;21,863;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;52;MATINHA / PRACA DO TROPEIRO;055;1;456;0;181,27;47;258,5;0;0;59;45;112,5;245;1261,75;1;0;58;298,7;1;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;52;MATINHA / PRACA DO TROPEIRO;055;2;122;0;72,406;7;38,5;0;0;28;8;20;33;169,95;24;0;12;61,8;9;0;0;0;1;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;53;SAO JOSE - VIA SOBRADINHO / TERMINAL CENTRAL;056;0;0;0;13,981;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;53;SAO JOSE - VIA SOBRADINHO / TERMINAL CENTRAL;056;1;151;0;65,589;25;137,5;0;0;37;7;17,5;51;262,65;0;0;31;159,65;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;53;SAO JOSE - VIA SOBRADINHO / TERMINAL CENTRAL;056;2;26;0;14,871;5;27,5;0;0;2;13;32,5;4;20,6;1;0;1;5,15;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;59;CAMPO DO GADO / TERMINAL CENTRAL - VIA CARAIBAS;063;0;0;0;119,495;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;59;CAMPO DO GADO / TERMINAL CENTRAL - VIA CARAIBAS;063;1;1375;0;349,175;168;924;0;0;303;192;480;556;2863,4;4;0;150;772,5;1;0;0;0;1;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;59;CAMPO DO GADO / TERMINAL CENTRAL - VIA CARAIBAS;063;2;468;0;356,503;57;313,5;0;0;125;89;222,5;112;576,8;44;0;24;123,6;9;0;0;0;8;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;60;CAMPO LIMPO / TERMINAL CENTRAL- VIA BARAUNAS;064;0;0;0;1,742;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;60;CAMPO LIMPO / TERMINAL CENTRAL- VIA BARAUNAS;064;1;175;0;102,263;32;176;0;0;45;18;45;65;334,75;0;0;15;77,25;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;60;CAMPO LIMPO / TERMINAL CENTRAL- VIA BARAUNAS;064;2;33;0;88,249;3;16,5;0;0;11;2;5;6;30,9;8;0;1;5,15;2;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;62;CONCEICAO I / PQ BRASIL - VIA GETULIO VARGAS;066;0;0;0;40,506;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;62;CONCEICAO I / PQ BRASIL - VIA GETULIO VARGAS;066;1;75;0;11,106;5;27,5;0;0;12;20;50;29;149,35;0;0;9;46,35;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;62;CONCEICAO I / PQ BRASIL - VIA GETULIO VARGAS;066;2;20;0;8,14;3;16,5;0;0;1;3;7,5;9;46,35;2;0;2;10,3;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;63;CONCEICAO I / SANTA BARBARA - VIA GETULIO VARGAS;067;0;0;0;13,762;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;63;CONCEICAO I / SANTA BARBARA - VIA GETULIO VARGAS;067;1;35;0;9,866;4;22;0;0;17;1;2,5;10;51,5;0;0;3;15,45;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;63;CONCEICAO I / SANTA BARBARA - VIA GETULIO VARGAS;067;2;15;0;7,971;0;0;0;0;1;3;7,5;0;0;10;0;1;5,15;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;64;CONCEICAO II / CASEB - VIA GETULIO VARGAS;068;0;0;0;22,625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;64;CONCEICAO II / CASEB - VIA GETULIO VARGAS;068;1;259;0;87,465;30;165;0;0;58;25;62,5;124;638,6;0;0;22;113,3;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;64;CONCEICAO II / CASEB - VIA GETULIO VARGAS;068;2;195;0;70,893;25;137,5;0;0;63;14;35;48;247,2;24;0;8;41,2;8;0;0;0;5;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;66;GEORGE AMERICO / TERMINAL CENTRAL;071;0;0;0;44,427;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;66;GEORGE AMERICO / TERMINAL CENTRAL;071;1;1005;0;206,908;84;462;0;0;249;153;382,5;428;2204,2;5;0;86;442,9;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;66;GEORGE AMERICO / TERMINAL CENTRAL;071;2;346;0;194,995;27;148,5;0;0;69;124;310;81;417,15;8;0;32;164,8;2;0;0;0;3;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;67;JOAO PAULO ESTRADA DO FRANCES PQ IPE ROXO;072;0;0;0;25,063;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;67;JOAO PAULO ESTRADA DO FRANCES PQ IPE ROXO;072;1;640;0;268,664;66;363;0;0;108;64;160;299;1539,85;3;0;98;504,7;0;0;0;0;2;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;67;JOAO PAULO ESTRADA DO FRANCES PQ IPE ROXO;072;2;435;0;171,101;47;258,5;0;0;88;50;125;115;592,25;69;0;37;190,55;21;0;0;0;8;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;68;GABRIELA II / TERMINAL CENTRAL;073;0;0;0;9,898;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;68;GABRIELA II / TERMINAL CENTRAL;073;1;274;0;74,135;39;214,5;0;0;62;24;60;117;602,55;1;0;31;159,65;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;68;GABRIELA II / TERMINAL CENTRAL;073;2;53;0;53,13;2;11;0;0;9;7;17,5;12;61,8;17;0;2;10,3;3;0;0;0;1;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;70;JARDIM CRUZEIRO / TERMINAL CENTRAL;075;0;0;0;20,963;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;70;JARDIM CRUZEIRO / TERMINAL CENTRAL;075;1;333;0;102,213;40;220;0;0;113;23;57,5;134;690,1;2;0;21;108,15;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;70;JARDIM CRUZEIRO / TERMINAL CENTRAL;075;2;48;0;37,743;2;11;0;0;22;1;2,5;10;51,5;9;0;1;5,15;2;0;0;0;1;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;71;LOT. MODELO / AV. FRAGA MAIA /  AV. MARIA QUITERIA;076;0;0;0;7,139;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;71;LOT. MODELO / AV. FRAGA MAIA /  AV. MARIA QUITERIA;076;1;199;0;87,809;33;181,5;0;0;58;11;27,5;75;386,25;2;0;20;103;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;71;LOT. MODELO / AV. FRAGA MAIA /  AV. MARIA QUITERIA;076;2;48;0;39,861;5;27,5;0;0;20;4;10;10;51,5;8;0;0;0;1;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;72;MANGABEIRA / AGROVILA / LARANJEIRAS - VIA J DURVAL;077;0;0;0;9,95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;72;MANGABEIRA / AGROVILA / LARANJEIRAS - VIA J DURVAL;077;1;338;0;70,586;31;170,5;0;0;59;71;177,5;128;659,2;2;0;46;236,9;1;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;72;MANGABEIRA / AGROVILA / LARANJEIRAS - VIA J DURVAL;077;2;199;0;50,908;21;115,5;0;0;34;37;92,5;42;216,3;43;0;12;61,8;6;0;0;0;4;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;73;ALTO DO PAPAGAIO - VIA JOÃO DURVAL T. CENTRAL;078;0;0;0;54,524;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;73;ALTO DO PAPAGAIO - VIA JOÃO DURVAL T. CENTRAL;078;1;186;0;49,64;26;143;0;0;40;27;67,5;74;381,1;0;0;18;92,7;0;0;0;0;1;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;73;ALTO DO PAPAGAIO - VIA JOÃO DURVAL T. CENTRAL;078;2;118;0;45,154;9;49,5;0;0;17;18;45;43;221,45;22;0;4;20,6;4;0;0;0;1;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;74;QUEIMADINHA / TERMINAL CENTRAL;079;1;134;0;54,657;15;82,5;0;0;45;9;22,5;58;298,7;0;0;7;36,05;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;74;QUEIMADINHA / TERMINAL CENTRAL;079;2;64;0;57,803;4;22;0;0;18;2;5;16;82,4;16;0;3;15,45;3;0;0;0;2;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;76;MORADA DAS ARVORES / TERMINAL CENTRAL;081;0;0;0;28,414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;76;MORADA DAS ARVORES / TERMINAL CENTRAL;081;1;83;0;40,078;6;33;0;0;10;15;37,5;33;169,95;1;0;18;92,7;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;76;MORADA DAS ARVORES / TERMINAL CENTRAL;081;2;1;0;30,47;1;5,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;77;NOVO HORIZONTE / TERMINAL CENTRAL - VIA CP. LIMPO;082;1;295;0;109,289;28;154;0;0;49;35;87,5;168;865,2;0;0;15;77,25;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;77;NOVO HORIZONTE / TERMINAL CENTRAL - VIA CP. LIMPO;082;2;35;0;92,908;6;33;0;0;9;6;15;7;36,05;5;0;1;5,15;0;0;0;0;1;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;78;PEDRA FERRADA / TERMINAL CENTRAL - VIA BRACO FORTE;083;0;0;0;14,381;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;78;PEDRA FERRADA / TERMINAL CENTRAL - VIA BRACO FORTE;083;1;381;0;99,921;60;330;0;0;107;56;140;129;664,35;1;0;28;144,2;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;78;PEDRA FERRADA / TERMINAL CENTRAL - VIA BRACO FORTE;083;2;211;0;134,328;17;93,5;0;0;51;39;97,5;74;381,1;11;0;15;77,25;2;0;0;0;2;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;79;PEDRA FERRADA / TERMINAL CENTRAL - VIA CALDEIRAO;084;0;0;0;19,284;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
